market,name,code,scode
KOSDAQ,한일사료,KR7005860002,005860
KOSPI,한일시멘트,KR7300720000,300720
KOSPI,한일철강,KR7002220002,002220
KOSPI,한일현대시멘트,KR7006390009,006390
KOSPI,한일홀딩스,KR7003300001,003300
KOSDAQ,한일화학,KR7007770001,007770
KOSPI,한전KPS,KR7051600005,051600
KOSPI,한전산업,KR7130660004,130660
KOSDAQ,한주라이트메탈,KR7198940009,198940
KOSDAQ,한주에이알티,KR7058450008,058450
KOSDAQ,한중엔시에스,KR7107640005,107640
KOSPI,한진,KR7002320000,002320
KOSPI,한진중공업홀딩스,KR7003480001,003480
KOSPI,한진칼우,KR718064K016,18064K
KOSPI,한진칼,KR7180640005,180640
KOSPI,한창,KR7005110002,005110
KOSDAQ,한창산업,KR7079170007,079170
KOSPI,한창제지,KR7009460007,009460
KOSPI,한컴라이프케어,KR7372910000,372910
KOSDAQ,한컴위드,KR7054920004,054920
KOSDAQ,한켐,KR7457370005,457370
KOSDAQ,한탑,KR7002680007,002680
KOSPI,한화우,KR7000881003,000885
KOSPI,한화3우B,KR700088K015,00088K
KOSPI,한화갤러리아우,KR745226K018,45226K
KOSPI,한화갤러리아,KR7452260003,452260
KOSPI,한화리츠,KR7451800007,451800
KOSPI,한화,KR7000880005,000880
KOSPI,한화비전,KR7489790006,489790
KOSPI,한화생명,KR7088350004,088350
KOSPI,한화손해보험,KR7000370007,000370
KOSPI,한화솔루션우,KR7009831009,009835
KOSPI,한화솔루션,KR7009830001,009830
KOSPI,한화시스템,KR7272210006,272210
KOSPI,한화에어로스페이스,KR7012450003,012450
KOSPI,한화엔진,KR7082740002,082740
KOSPI,한화오션,KR7042660001,042660
KOSPI,한화투자증권우,KR7003531001,003535
KOSPI,한화투자증권,KR7003530003,003530
KOSDAQ,한화플러스제4호스팩,KR7455310003,455310
KOSPI,해성디에스,KR7195870001,195870
KOSDAQ,해성산업,KR7034810002,034810
KOSDAQ,해성산업1우,KR703481K019,03481K
KOSDAQ,해성에어로보틱스,KR7059270009,059270
KOSDAQ,해성옵틱스,KR7076610005,076610
KOSPI,해태제과식품,KR7101530004,101530
KOSDAQ,핸디소프트,KR7220180004,220180
KOSPI,핸즈코퍼레이션,KR7143210003,143210
KOSDAQ,헝셩그룹,HK0000214814,900270
KOSDAQ,헥토이노베이션,KR7214180002,214180
KOSDAQ,헥토파이낸셜,KR7234340008,234340
KOSDAQ,헬릭스미스,KR7084990001,084990
KOSPI,현대건설우,KR7000721001,000725
KOSPI,현대건설,KR7000720003,000720
KOSDAQ,현대공업,KR7170030001,170030
KOSPI,현대그린푸드,KR7453340002,453340
KOSPI,현대글로비스,KR7086280005,086280
KOSPI,현대로템,KR7064350002,064350
KOSPI,현대리바트,KR7079430005,079430
KOSPI,현대모비스,KR7012330007,012330
KOSDAQ,현대무벡스,KR7319400008,319400
